,ticker,frequency,score
155,DNA,2.0,19.0
76,GNOG,2.0,19.0
419,EXPI,2.0,19.0
580,EPD,1.0,19.0
535,SNES,1.0,18.0
381,OSTK,2.0,18.0
429,GNUS,2.0,18.0
404,GEVO,2.0,18.0
534,UPWK,2.0,18.0
578,CNET,1.0,17.0
242,HITI,1.0,17.0
590,AIN,1.0,17.0
387,WPM,1.0,17.0
224,BARK,1.0,17.0
262,MGM,2.0,16.0
545,VMW,1.0,16.0
470,WRAP,1.0,16.0
542,RDFN,1.0,16.0
518,HON,1.0,16.0
551,YALA,1.0,16.0
536,MELI,1.0,16.0
543,CROX,1.0,16.0
537,TWLO,1.0,16.0
469,CTO,1.0,16.0
540,DDD,1.0,16.0
309,LUV,2.0,16.0
405,MSTR,2.0,16.0
382,NEO,1.0,16.0
298,SPOT,2.0,16.0
228,LOTZ,1.0,16.0
475,DESP,1.0,15.0
585,SRPT,1.0,15.0
588,PACK,1.0,15.0
519,PLNT,1.0,15.0
483,SABR,1.0,15.0
482,PNW,1.0,15.0
480,AMWD,1.0,15.0
479,POR,1.0,15.0
478,NFE,1.0,15.0
477,IHRT,1.0,15.0
237,PAA,1.0,15.0
323,PLBY,2.0,15.0
473,ANAB,1.0,15.0
462,NEWT,1.0,15.0
474,BCS,1.0,15.0
526,CCI,1.0,14.0
391,INUV,1.0,14.0
606,SJW,1.0,14.0
465,MIC,2.0,14.0
581,COP,1.0,14.0
116,LAZY,1.0,14.0
596,EOSE,1.0,14.0
592,NDAQ,1.0,14.0
591,KTOS,1.0,14.0
393,EVGN,1.0,14.0
471,GATE,1.0,14.0
550,BEAM,1.0,14.0
520,UAVS,1.0,13.0
546,IFF,1.0,13.0
523,SCKT,1.0,13.0
369,PRPO,1.0,13.0
515,NAN,1.0,13.0
64,CPNG,2.0,13.0
599,COUP,1.0,13.0
586,LOGI,1.0,13.0
505,LEE,1.0,13.0
215,GLTO,1.0,13.0
472,APLE,1.0,13.0
485,FURY,1.0,13.0
399,EBET,2.0,13.0
552,SPWR,1.0,13.0
407,ATVI,1.0,13.0
238,BIIB,1.0,13.0
230,KODK,1.0,13.0
87,HUYA,1.0,13.0
455,ICE,1.0,13.0
487,UNFI,1.0,12.0
464,TLSA,1.0,12.0
